,ini_price,sicks,ranks,horse_items,dad_record,dad_rate,mom_record,mom_rate
10,"6,000천원(개별)","['좌후지파행 2021/04/30', '우전지파행 2021/04/17', '우전지파행 2021/03/27', '우전지파행 2021/03/26', '우전지파행 2021/03/19', '우전지파행 2020/11/18', '우전지파행 2020/11/15', '우전지파행 2020/10/24', '운동기질환 기타 2020/08/21', '우전지파행 2020/08/07', '운동기질환 기타 2020/06/21', '좌전지파행 2020/05/08', '우전지파행 2020/02/23', '운동기질환 기타 2020/02/09', '감기 2020/01/19', '감기 2020/01/18', '운동기질환 기타 2020/01/12', '운동기질환 기타 2019/12/08', '운동기질환 기타 2019/10/13', '운동기질환 기타 2019/09/29', '감기 2019/09/26', '운동기질환 기타 2019/09/26', '감기 2019/09/25', '운동기질환 기타 2019/09/25', '우후지파행 2019/09/09', '우후지파행 2019/09/08', '좌전지파행 2019/08/04', '운동기질환 기타 2019/06/17', '운동기질환 기타 2019/06/16', '좌전지파행 2019/05/20', '좌전지파행 2019/05/19', '좌전지파행 2019/05/05', '좌전지파행 2019/04/21', '운동기질환 기타 2019/04/06', '운동기질환 기타 2019/03/24', '우전지파행 2019/02/17', '우전지파행 2019/02/16', '운동기질환 기타 2019/01/26', '좌전지파행 2019/01/12', '기타임신검사(초음파) 2018/06/27']","['한1 2019/04/21 ~ 2021/09/17', '한2 2018/12/02 ~ 2019/04/20', '한3 2018/11/11 ~ 2018/12/01', '한4 2018/08/26 ~ 2018/11/10', '한3 2018/08/03 ~ 2018/08/25', '신 2018/07/05 ~ 2018/08/02', '미 2018/06/10 ~ 2018/07/04']","['바람기억 () 99~허경화', '외부마(88조) 한1~7세', '37전 (4/7/3/6/5) 10.8%~29.7%']",None,None,None,None
11,,"['운동기질환 기타 2022/05/11', '양후지파행 2022/04/17', '좌전우후지파행 2022/04/02', '좌전우후지파행 2022/04/01', '산통 2021/09/24', '산통 2021/09/23', '우전지파행 2021/06/27', '우전지파행 2021/06/26', '좌전지파행 2021/06/03', '좌전지파행 2021/06/02', '좌전지파행 2021/03/07', '좌전지파행 2021/03/06', '우전지파행 2021/02/20', '운동기질환 기타 2021/01/23', '운동기질환 기타 2021/01/22', '운동기질환 기타 2020/11/18', '운동기질환 기타 2020/11/15', '운동기질환 기타 2020/10/30', '운동기질환 기타 2020/10/29', '좌전지파행 2020/08/09', '좌전지파행 2020/08/08', '좌전지파행 2020/08/01', '좌전지파행 2020/07/31', '좌전지파행 2020/07/30', '좌전지파행 2020/07/22', '좌전지파행 2020/07/21', '좌전지파행 2020/07/15', '좌전지파행 2020/07/14', '좌전지파행 2020/07/12', '좌주두점액낭염(좌주종) 2020/06/27', '좌주두점액낭염(좌주종) 2020/06/26', '좌주두점액낭염(좌주종) 2020/06/23', '운동기질환 기타 2020/06/21', '운동기질환 기타 2020/04/24', '운동기질환 기타 2020/04/23', '운동기질환 기타 2019/12/29', '운동기질환 기타 2019/12/28', '운동기질환 기타 2019/12/16', '운동기질환 기타 2019/12/15', '운동기질환 기타 2019/12/01', '운동기질환 기타 2019/11/30', '운동기질환 기타 2019/11/17', '운동기질환 기타 2019/11/16', '운동기질환 기타 2019/11/15', '운동기질환 기타 2019/11/11', '운동기질환 기타 2019/11/10', '운동기질환 기타 2019/10/27', '운동기질환 기타 2019/10/26', '운동기질환 기타 2019/10/11', '운동기질환 기타 2019/10/10', '임신검사 2019/10/02', '우전지파행 2019/04/15', '우전지파행 2019/04/14', '우전지파행 2019/04/13', '운동기질환 기타 2019/03/31', '운동기질환 기타 2019/03/30', '운동기질환 기타 2019/03/11', '운동기질환 기타 2019/03/10', '운동기질환 기타 2019/03/09', '운동기질환 기타 2019/01/12', '운동기질환 기타 2019/01/11', '운동기질환 기타 2018/12/31', '안상 2018/10/24', '안상 2018/10/22', '안상 2018/10/21', '안상 2018/10/20', '안상 2018/10/19', '좌주두점액낭염(좌주종) 2018/10/19', '운동기질환 기타 2018/09/17', '운동기질환 기타 2018/09/16', '운동기질환 기타 2018/09/14', '운동기질환 기타 2018/09/13', '임신검사 2018/09/12', '마체검사 2018/06/15', '좌전내측근위종자골기저부골절 2018/04/11', '좌전내측근위종자골기저부골절 2018/04/09', '좌전내측근위종자골기저부골절 2018/04/08', '좌전내측근위종자골기저부골절 2018/04/07', '좌주두점액낭염(좌주종) 2017/09/11', '좌주두점액낭염(좌주종) 2017/09/10', '좌주두점액낭염(좌주종) 2017/09/09', '기타임신검사(초음파) 2017/07/23', '좌주두점액낭염(좌주종) 2017/07/14', '좌주두점액낭염(좌주종) 2017/07/13', '기타임신검사(초음파) 2017/03/26']","['한1 2019/01/13 ~ 2022/12/21', '한2 2018/08/26 ~ 2019/01/12', '한1 2017/08/27 ~ 2018/08/25', '한2 2017/06/09 ~ 2017/08/26', '미 2017/05/18 ~ 2017/06/08', '미 2016/12/14 ~ 2017/05/17']","['명문군단 (MYEONGMUNGUNDAN) 136~강영수', '외부마(88조) 한1~9세', '40전 (8/6/5/3/4) 20.0%~35.0%']",None,None,None,None
12,자가생산,"['좌전지파행 2019/02/09', '좌전지파행 2019/02/08', '좌전지파행 2019/02/07', '좌전지파행 2019/02/03', '운동기질환 기타 2018/09/20', '운동기질환 기타 2018/09/19', '운동기질환 기타 2018/09/17', '우후지파행 2018/08/12', '우후지파행 2018/08/11', '낭치 2018/07/13', '정치 2018/07/13']","['한1 2019/02/03 ~ 2019/03/24', '한2 2018/12/23 ~ 2019/02/02', '한3 2018/11/25 ~ 2018/12/22', '한4 2018/08/26 ~ 2018/11/24', '신 2018/08/09 ~ 2018/08/25', '미 2018/04/11 ~ 2018/08/08']","['바다여왕 (BADAYEOWANG) 75~오춘광', '고영덕(13조) 한1~7세', '12전 (5/2/3/1/1) 41.7%~58.3%']",None,None,None,None
13,,"['좌전지파행 2020/02/22', '우후지 부종 2020/01/17', '좌전지파행 2019/10/28', '인푸렌자예방접종 2017/03/02', '소화기 질환 기타 2016/10/10', '낭치 2016/08/11', '정치 2016/08/11']","['한2 2018/08/26 ~ 2020/06/26', '한1 2017/11/12 ~ 2018/08/25', 'C2 2017/04/23 ~ 2017/11/11', 'C3 2016/10/28 ~ 2017/04/22', '신 2016/10/20 ~ 2016/10/27', '미 2016/08/10 ~ 2016/10/19']","['대지일호 (DAEJIILHO) 58~문애순', '외부마(88조) 한2~8세', '44전 (2/4/8/7/5) 4.5%~13.6%']",None,None,None,None
14,자가생산,"['운동기질환 기타 2019/08/16', '운동기질환 기타 2019/08/09', '운동기질환 기타 2019/08/08', '운동기질환 기타 2019/08/01', '운동기질환 기타 2019/07/29', '운동기질환 기타 2019/04/15', '운동기질환 기타 2019/04/14', '소화기 질환 기타 2019/03/28', '운동기질환 기타 2019/03/27', '운동기질환 기타 2019/03/18', '운동기질환 기타 2019/03/17', '운동기질환 기타 2019/03/03', '운동기질환 기타 2019/03/02', '운동기질환 기타 2019/03/01', '감기 2018/07/16', '감기 2018/07/15', '감기 2018/07/06', '감기 2018/07/05', '감기 2018/07/04', '낭치 2018/06/20', '정치 2018/06/20']","['한1 2019/09/01 ~ 2019/09/23', '한2 2018/12/30 ~ 2019/08/31', '한3 2018/12/02 ~ 2018/12/29', '한4 2018/10/04 ~ 2018/12/01', '미 2018/05/23 ~ 2018/10/03']","['무패질주 (MUPAEJILJU) 85~송문관', '강영진(15조) 한1~7세', '17전 (3/6/4/0/1) 17.6%~52.9%']",None,None,None,None
15,,"['우중수부천지굴건단열 2021/01/16', '우전지파행 2021/01/15', '운동기질환 기타 2020/07/05', '운동기질환 기타 2019/10/26', '운동기질환 기타 2019/10/25', '양전지파행 2019/09/28', '양전지파행 2019/09/27', '양전지파행 2019/08/25', '우전지파행 2019/01/21', '우전지파행 2019/01/20', '우전지파행 2019/01/19', '좌전지파행 2018/10/28', '좌전지파행 2018/10/27', '운동기질환 기타 2018/07/05', '좌후지 부종 2018/05/20', '좌후지 부종 2018/05/19', '양전지파행 2017/07/28', '양전지파행 2017/07/27', '양전지파행 2017/06/25', '양전지파행 2017/06/24', '운동기질환 기타 2016/11/27', '운동기질환 기타 2016/09/11', '감기 2016/08/26', '감기 2016/08/24', '좌전지파행 2016/08/21', '낭치 2016/03/27', '정치 2016/03/27', '감기 2016/01/17', '감기 2016/01/16', '감기 2016/01/15', '좌전지파행 2015/10/24', '좌전지파행 2015/10/23', '기타임신검사(초음파) 2015/10/04', '우전지파행 2015/07/06', '기타임신검사(초음파) 2015/07/05', '운동기질환 기타 2015/07/02', '운동기질환 기타 2015/07/01', '우전지파행 2015/04/23', '우전지파행 2015/04/20', '우후지파행 2015/03/08', '감기 2015/01/12', '감기 2015/01/11', '감기 2014/12/10', '감기 2014/12/08', '감기 2014/12/07', '감기 2014/11/22', '감기 2014/11/21', '감기 2014/11/20']","['한2 2018/08/26 ~ 2021/01/20', '한1 2016/06/26 ~ 2018/08/25', 'C2 2016/01/01 ~ 2016/06/25', 'C3 2015/10/25 ~ 2015/12/31', 'C4 2015/01/10 ~ 2015/10/24', '신 2014/12/18 ~ 2015/01/09', '미 2014/11/12 ~ 2014/12/17']","['기적바람 (GIJEOKBARAM) 57~', '좌윤철(11조) 한2~11세', '61전 (5/3/8/10/11) 8.2%~13.1%']",None,None,None,None
16,,"['식이성 식욕부진 2012/03/04', '낭치 2011/10/05', '정치 2011/10/05']","['C1 2013/01/01 ~ 2014/05/14', 'C3 2011/11/05 ~ 2012/12/31', '신 2011/10/20 ~ 2011/11/04', '미 2011/05/25 ~ 2011/10/19']",['망사눈가면 2011/10/30~2014/01/12'],None,None,None,None
17,,"['식이성 식욕부진 2003/10/27', '소화불량 2002/12/08', '감기 2002/12/05', '감기 2002/12/04', '예방접종(백신접종) 2002/07/31', '예방접종(백신접종) 2002/05/08']","['C3 2002/12/02 ~ 2004/11/30', 'C4 2002/06/08 ~ 2002/12/01', '신 2002/05/29 ~ 2002/06/07', '미 2002/05/15 ~ 2002/05/28', '미 2002/04/25 ~ 2002/05/14']","['장엄 (CHANG-EOM) ~', '김영복(1조) C3~23세', '15전 (2/2/1/1/2) 13.3%~26.7%']",None,None,None,None
18,,"['운동기질환 기타 2020/02/28', '운동기질환 기타 2020/02/27', '운동기인성 피로회복 2019/08/24', '인푸렌자예방접종 2017/11/08', '선역예방접종 2017/11/08', '좌전지파행 2017/05/14', '좌전지파행 2017/05/13', '좌전지파행 2017/05/12', '낭치 2017/03/23', '정치 2017/03/23']","['한2 2018/10/07 ~ 2021/06/30', '한3 2018/08/26 ~ 2018/10/06', '한2 2017/06/11 ~ 2018/08/25', 'C3 2017/04/28 ~ 2017/06/10', '신 2017/04/20 ~ 2017/04/27', '미 2016/11/23 ~ 2017/04/19']","['회색등불 (HOESAEKDEUNGBUL) 48~한병용', '외부마(88조) 한2~9세', '42전 (4/2/2/5/6) 9.5%~14.3%']",None,None,None,None
19,,[],"['C3 1996/01/01 ~ 1999/12/17', 'C4 1995/01/01 ~ 1995/12/31', ' 1994/02/16 ~ 1994/12/31', ' 1993/04/17 ~ 1994/02/15', '신 1993/04/12 ~ 1993/04/16', '미 1993/03/03 ~ 1993/04/11']","['영포인트 () ~', '양대송(5조) C3~32세', '26전 (5/7/2/0/2) 19.2%~46.2%']",None,None,None,None
20,"25,000천원(개별)","['우전지파행 2020/06/21', '우전지파행 2020/06/20', '운동기인성 피로회복 2019/07/07', '운동기질환 기타 2019/06/16', '운동기질환 기타 2019/06/15', '소화기 질환 기타 2019/05/09', '소화기 질환 기타 2019/05/08', '소화기 질환 기타 2019/05/02', '우전지파행 2018/10/15', '우전지파행 2018/10/14', '우전지파행 2018/10/13', '운동기질환 기타 2018/09/30', '운동기질환 기타 2018/09/29', '운동기질환 기타 2018/09/10', '운동기질환 기타 2018/09/09', '운동기질환 기타 2018/04/21', '운동기질환 기타 2018/04/20', '운동기질환 기타 2018/04/19', '감기 2018/04/14', '낭치 2018/03/15', '정치 2018/03/15']","['제2 2022/01/01 ~ 현재', '제1 2021/03/27 ~ 2021/12/31', '제2 2020/01/01 ~ 2021/03/26', '제1 2019/12/22 ~ 2019/12/31', '제2 2019/01/13 ~ 2019/12/21', '제3 2018/10/14 ~ 2019/01/12', '제4 2018/08/26 ~ 2018/10/13', '제1 2018/05/11 ~ 2018/08/25', '미 2018/04/19 ~ 2018/05/10', '미 2018/03/07 ~ 2018/04/18']",['눈가면 2019/10/20~2019/12/01'],42전 (6/8/5/7/5),단승 : 14.3%      복승 : 33.3%      연승 : 45.2%,29전 (8/4/2/5/4),단승 : 27.6%      복승 : 41.4%      연승 : 48.3%
21,,[],"['C4 1995/06/19 ~ 1997/03/05', 'C5 1995/04/24 ~ 1995/06/18', 'C6 1995/03/20 ~ 1995/04/23', 'C7 1995/02/25 ~ 1995/03/19', '미 1994/12/08 ~ 1995/02/24']","[""푸른물결 (P'IU) ~"", '임용찬(12조) C4~30세', '10전 (6/3/1/0/0) 60.0%~90.0%']",None,None,None,None
22,,[],"['신 1999/12/16 ~ 1999/12/17', '신 1999/04/21 ~ 1999/12/15', '미 1999/03/25 ~ 1999/04/20']","['함지박 (HAMJIBAK) ~', '김성오(19조) 신~26세', '0전 (0/0/0/0/0) 0.0%~0.0%']",None,None,None,None
23,,"['운동기질환 기타 2019/11/25', '임신검사 2019/08/14', '낭치 2019/08/08', '좌전지파행 2018/11/11', '기타임신검사(초음파) 2018/02/11', '순환기질환 기타 2017/07/08', '기타임신검사(초음파) 2017/05/21', '인푸렌자예방접종 2017/05/10', '일본뇌염예방접종 2017/05/10', '낭치 2016/01/10', '정치 2016/01/10', '감기 2016/01/04', '감기 2016/01/03', '감기 2016/01/02', '기타임신검사(초음파) 2015/12/20']","['제3 2020/01/01 ~ 2020/07/22', '제2 2019/10/13 ~ 2019/12/31', '제3 2018/12/09 ~ 2019/10/12', '제4 2018/08/26 ~ 2018/12/08', '제1 2015/09/05 ~ 2018/08/25', '신 2015/08/20 ~ 2015/09/04', '미 2015/07/01 ~ 2015/08/19']",['눈가면 2015/09/06~'],42전 (6/8/5/7/5),단승 : 14.3%      복승 : 33.3%      연승 : 45.2%,20전 (1/5/1/2/3),단승 : 5.0%      복승 : 30.0%      연승 : 35.0%
24,,"['우중수부중간부천지굴건염 2023/06/09', '정치 2023/05/17', '우전지파행 2021/11/10', '우전지파행 2021/11/06', '우전지파행 2021/11/05', '우전지파행 2021/11/04', '우전지파행 2021/04/25', '우전지파행 2021/04/24', '우전지파행 2021/01/23', '우전지파행 2021/01/22', '우전지파행 2020/08/16', '우전지파행 2020/08/15', '우전지파행 2019/11/17', '우전지파행 2019/11/16', '우전지파행 2019/08/03', '우전지파행 2019/08/02', '운동기질환 기타 2019/05/26']","['제4 2022/01/01 ~ 2023/06/14', '제3 2019/05/12 ~ 2021/12/31', '제2 2019/03/03 ~ 2019/05/11', '제3 2018/12/23 ~ 2019/03/02', '제4 2018/12/09 ~ 2018/12/22', '제3 2018/08/26 ~ 2018/12/08', '제1 2015/04/11 ~ 2018/08/25', '미 2015/03/26 ~ 2015/04/10', '미 2015/03/04 ~ 2015/03/25']","['구각자극판 2017/08/16~2018/10/28', '눈가면 2015/03/29~']",2전 (2/0/0/0/0),단승 : 100.0%      복승 : 100.0%      연승 : 100.0%,0전 (0/0/0/0/0),단승 : 0.0%      복승 : 0.0%      연승 : 0.0%
25,자가생산,"['운동기질환 기타 2018/12/08', '운동기질환 기타 2018/12/07', '좌전지파행 2018/09/29', '좌전지파행 2018/09/09', '좌전지파행 2018/09/08', '감기 2018/08/19', '운동기질환 기타 2018/06/03', '운동기질환 기타 2018/06/02', '운동기질환 기타 2018/02/11', '일본뇌염예방접종 2017/06/14', '선역예방접종 2017/06/14']","['제3 2018/08/26 ~ 2020/07/22', '제1 2018/03/02 ~ 2018/08/25', '신 2018/02/11 ~ 2018/03/01', '미 2017/06/14 ~ 2018/02/10']",['눈가면 2018/11/11~'],36전 (6/2/0/0/1),단승 : 16.7%      복승 : 22.2%      연승 : 22.2%,55전 (13/10/6/8/6),단승 : 23.6%      복승 : 41.8%      연승 : 52.7%
26,"15,000천원(개별)","['운동기질환 기타 2019/09/08', '운동기질환 기타 2019/06/30', '운동기질환 기타 2019/06/02', '소화기 질환 기타 2018/11/10', '식이성 식욕부진 2018/05/19', '식이성 식욕부진 2018/05/05', '소화기 질환 기타 2018/04/01']","['제2 2019/08/18 ~ 2019/11/06', '제3 2018/10/14 ~ 2019/08/17', '제4 2018/08/26 ~ 2018/10/13', '제1 2017/11/25 ~ 2018/08/25', '신 2017/11/16 ~ 2017/11/24', '미 2017/08/16 ~ 2017/11/15']",['망사눈가면 2018/03/04~'],42전 (6/8/5/7/5),단승 : 14.3%      복승 : 33.3%      연승 : 45.2%,10전 (0/0/0/0/1),단승 : 0.0%      복승 : 0.0%      연승 : 0.0%
27,,"['양전지파행 2023/06/10', '좌전지파행 2023/06/09', '재료판매 2023/03/19', '정치 2023/03/05', '소화기 질환 기타 2020/08/15', '양전 발목피부염(계군) 2018/12/23', '우전지파행 2018/12/23', '양전지파행 2017/09/04', '양전지파행 2017/09/03', '양전지파행 2017/09/02', '일본뇌염예방접종 2017/06/28', '선역예방접종 2017/06/28', '좌전지파행 2017/05/07', '좌전지파행 2017/05/06', '낭치 2017/04/20', '정치 2017/04/20', '좌전지파행 2017/04/17', '좌전지파행 2017/04/16', '좌전지파행 2017/04/15', '좌전지파행 2017/03/06', '좌전지파행 2017/03/05', '운동기질환 기타 2017/02/27', '운동기질환 기타 2017/02/26', '안상 2016/11/17', '안상 2016/11/16', '안상 2016/11/14', '감기 2016/09/11', '감기 2016/08/06', '감기 2016/08/05', '감기 2016/08/04']","['제1 2023/09/03 ~ 현재', '제2 2022/01/01 ~ 2023/09/02', '제1 2021/06/05 ~ 2021/12/31', '제2 2019/07/07 ~ 2021/06/04', '제3 2018/09/30 ~ 2019/07/06', '제4 2018/08/26 ~ 2018/09/29', '제1 2016/09/02 ~ 2018/08/25', '미 2016/08/18 ~ 2016/09/01', '미 2016/06/29 ~ 2016/08/17']",['눈가면 2016/08/28~'],None,None,None,None
